,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,clusters,cluster
4764,49.28917,-123.04293,192,2,17,3.21,18,207,17,2,dark purple
4765,49.2781168,-123.0995864,186,1,26,4.73,1,257,26,2,dark purple
4766,49.27402,-123.1271,342,2,22,3.98,2,316,22,2,dark purple
4767,49.25223,-123.05262,345,2,2,0.37,1,159,2,1,purple
4768,49.28225019,-123.1258058,129,30,3,0.73,1,13,3,0,pink
4769,49.29062,-123.12818,560,30,8,1.52,14,75,8,1,purple
4770,49.27566,-123.13016,400,30,0,0.0,14,115,0,1,purple
4771,49.26789,-123.14716,299,30,0,0.0,1,198,0,2,dark purple
4772,49.23855,-123.11588,241,1,3,0.92,14,39,3,0,pink
4773,49.27934,-123.12799,199,30,5,1.26,1,42,5,0,pink
4774,49.27704,-123.12338,210,30,0,0.0,41,343,0,2,dark purple
4775,49.27865,-123.12334,300,30,0,0.0,41,335,0,2,dark purple
4776,49.2653542,-123.0997137,220,2,17,5.2,1,5,17,0,pink
4777,49.2748,-123.12587,260,30,0,0.0,41,365,0,2,dark purple
4778,49.27131,-123.10341,296,2,19,3.52,1,36,19,0,pink
4779,49.2739053,-123.126715,260,30,1,1.0,41,365,1,2,dark purple
4780,49.2764611,-123.1295442,300,30,0,0.0,41,299,0,2,dark purple
4781,49.2764611,-123.1295442,230,30,0,0.0,41,312,0,2,dark purple
4782,49.2764611,-123.1295442,197,30,0,0.0,41,364,0,2,dark purple
4783,49.27262,-123.16051,125,30,3,0.87,6,239,3,2,dark purple
4784,49.27718,-123.12843,200,30,0,0.0,41,364,0,2,dark purple
4785,49.2764611,-123.1295442,170,30,0,0.0,41,328,0,2,dark purple
4786,49.27079,-123.15995,114,30,1,0.42,6,308,1,2,dark purple
4787,49.2764611,-123.1295442,160,30,1,0.73,41,346,1,2,dark purple
4788,49.26585,-123.0989947,235,3,9,1.76,28,5,9,0,pink
4789,49.2671303,-123.0998567,221,30,0,0.0,1,253,0,2,dark purple
4790,49.27282,-123.1497,296,1,22,4.68,1,280,22,2,dark purple
4791,49.2647502,-123.0997003,114,30,0,0.0,1,199,0,2,dark purple
4792,49.28563,-123.13236,97,30,0,0.0,1,34,0,0,pink
4793,49.287521,-123.1403761,155,30,0,0.0,2,313,0,2,dark purple
4794,49.2492167,-123.0628087,109,2,16,2.91,3,292,16,2,dark purple
4795,49.21832,-123.11812,198,30,0,0.0,2,0,0,0,pink
4796,49.2563117,-123.0924612,214,1,23,4.42,1,238,23,2,dark purple
4797,49.26867,-123.15363,76,1,0,0.0,1,0,0,0,pink
4798,49.21609,-123.11641,269,1,17,4.36,2,28,17,0,pink
4799,49.226,-123.11633,543,1,13,2.6,2,0,13,1,purple
4800,49.26147312,-123.0907113,168,1,10,2.31,2,27,10,0,pink
4801,49.2564614,-123.0991846,427,2,9,3.18,2,30,9,1,purple
4802,49.24668485,-123.0619623,98,1,20,3.8,1,93,20,0,pink
4803,49.25444023,-123.0898924,100,1,8,1.46,13,364,8,2,dark purple
4804,49.26034243,-123.0804287,98,1,4,1.56,5,364,4,2,dark purple
4805,49.26160156,-123.0895512,158,1,21,3.66,2,27,21,0,pink
4806,49.2621356,-123.2022635,78,1,3,0.56,6,73,3,0,pink
4807,49.27143691,-123.1006816,350,2,9,1.97,1,351,9,2,dark purple
4808,49.25748861,-123.106153,298,30,1,0.24,112,351,1,2,dark purple
4809,49.23992,-123.05306,168,1,21,5.63,1,18,21,0,pink
4810,49.2538073,-123.188493,57,30,2,0.83,1,82,2,0,pink
4811,49.2621356,-123.2022635,69,1,8,1.56,6,78,8,0,pink
4812,49.25751104,-123.1079758,158,30,1,0.22,112,292,1,2,dark purple
4813,49.2787913,-123.1117482,200,30,0,0.0,36,179,0,2,dark purple
4814,49.22769568,-123.0424743,59,2,9,2.06,2,294,9,2,dark purple
4815,49.2536267,-123.1042341,236,3,3,2.65,1,43,3,0,pink
4816,49.24810642,-123.064946,537,1,17,3.47,1,214,17,1,purple
4817,49.26844,-123.10944,224,30,0,0.0,6,0,0,0,pink
4818,49.2873812,-123.1237839,561,1,1,1.0,3,165,1,1,purple
4819,49.26088556,-123.1116863,47,30,0,0.0,13,354,0,2,dark purple
4820,49.25912859,-123.1131417,47,30,0,0.0,13,359,0,2,dark purple
4821,49.25845381,-123.1131578,43,30,0,0.0,13,304,0,2,dark purple
4822,49.23684716,-123.0313283,120,30,2,0.52,1,251,2,2,dark purple
4823,49.2749198,-123.1150309,110,30,1,0.64,36,202,1,2,dark purple
4824,49.2503314,-123.0550923,85,1,16,3.53,4,43,16,0,pink
4825,49.27848552,-123.1059498,391,1,28,5.22,1,67,28,1,purple
4826,49.24457285,-123.0681264,239,1,0,0.0,1,124,0,0,pink
4827,49.2749061,-123.1310273,334,30,0,0.0,2,242,0,2,dark purple
4828,49.27315333,-123.074895,150,30,1,0.43,2,220,1,2,dark purple
4829,49.25866781,-123.1129662,53,30,2,0.58,18,236,2,2,dark purple
4830,49.25848542,-123.1118169,48,30,2,0.6,18,236,2,2,dark purple
4831,49.28271782,-123.1253744,140,5,17,3.4,4,62,17,0,pink
4832,49.2786,-123.10767,316,2,22,4.55,1,67,22,0,pink
4833,49.27997686,-123.0924244,664,3,0,0.0,2,286,0,1,purple
4834,49.22125606,-123.1537925,76,30,0,0.0,11,310,0,2,dark purple
4835,49.2792118,-123.1214803,228,2,17,5.2,1,45,17,0,pink
4836,49.2377703,-123.0692329,125,1,22,5.24,5,282,22,2,dark purple
4837,49.26047442,-123.078366,88,1,3,0.73,5,364,3,2,dark purple
4838,49.2694419,-123.0369611,185,2,5,1.47,1,279,5,2,dark purple
4839,49.22650057,-123.058984,160,2,4,4.0,1,54,4,0,pink
4840,49.26923434,-123.1000335,110,30,0,0.0,1,159,0,0,pink
4841,49.21830581,-123.0625344,369,3,0,0.0,2,247,0,1,purple
4842,49.27902904,-123.1208527,957,2,24,4.42,1,86,24,1,purple
4843,49.29209307,-123.1346143,125,30,0,0.0,1,283,0,2,dark purple
4844,49.26058,-123.1131,90,30,0,0.0,18,236,0,2,dark purple
4845,49.2784951,-123.1296296,181,1,11,2.62,1,0,11,0,pink
4846,49.28967516,-123.1380852,473,1,9,1.66,11,242,9,1,purple
4847,49.25020423,-123.1168928,43,30,0,0.0,1,159,0,0,pink
4848,49.27060787,-123.1039999,139,30,2,1.43,1,364,2,2,dark purple
4849,49.25321,-123.18779,159,1,8,2.45,1,64,8,0,pink
4850,49.28115572,-123.0828166,222,1,32,7.62,1,82,32,0,pink
4851,49.21051609,-123.1315624,120,7,1,0.5,5,0,1,0,pink
4852,49.24477061,-123.0312595,140,1,21,3.94,1,58,21,0,pink
4853,49.2853076,-123.1182532,129,2,8,1.71,1,134,8,0,pink
4854,49.2762926,-123.1308973,200,30,0,0.0,1,290,0,2,dark purple
4855,49.28338,-123.10312,332,6,9,1.86,1,318,9,2,dark purple
4856,49.290976,-123.141557,110,30,1,1.0,1,6,1,0,pink
4857,49.25996933,-123.1132569,56,30,0,0.0,18,236,0,2,dark purple
4858,49.2890152,-123.1208992,350,30,0,0.0,36,326,0,2,dark purple
4859,49.26059095,-123.1124498,56,30,1,0.19,18,236,1,2,dark purple
4860,49.2768757,-123.1272035,261,1,22,4.96,1,91,22,0,pink
4861,49.25889321,-123.1133912,48,30,2,0.57,18,236,2,2,dark purple
4862,49.279551,-123.0420616,184,1,1,0.27,1,325,1,2,dark purple
4863,49.2558181,-123.1162225,112,2,22,4.13,2,6,22,0,pink
4864,49.2494625,-123.0489386,116,2,0,0.0,1,156,0,0,pink
4865,49.2653542,-123.0997137,222,3,6,3.75,1,9,6,0,pink
4866,49.2322592,-123.10178,247,1,6,3.0,1,249,6,2,dark purple
4867,49.24194416,-123.0648792,139,1,16,3.61,1,45,16,0,pink
4868,49.26482999,-123.1468696,967,7,0,0.0,23,341,0,1,purple
4869,49.24237532,-123.0488071,82,2,11,2.19,2,58,11,0,pink
4870,49.25911827,-123.1064284,200,1,3,0.76,14,32,3,0,pink
4871,49.27785303,-123.0928363,352,1,17,3.86,2,52,17,1,purple
4872,49.21701141,-123.1389304,102,30,1,0.29,1,115,1,0,pink
4873,49.27079293,-123.1598576,259,30,2,0.59,112,282,2,2,dark purple
4874,49.27155,-123.16016,133,30,2,0.83,112,256,2,2,dark purple
4875,49.25853325,-123.1130883,53,30,0,0.0,18,236,0,2,dark purple
4876,49.2820759,-123.1059132,196,1,24,5.14,1,137,24,0,pink
4877,49.23607001,-123.1385284,440,2,6,1.84,2,80,6,1,purple
4878,49.28763058,-123.1277544,150,30,1,0.29,5,248,1,2,dark purple
4879,49.29133349,-123.1328362,124,30,2,0.86,37,43,2,0,pink
4880,49.20399298,-123.0366937,150,10,2,2.0,3,96,2,0,pink
4881,49.2398678,-123.0531378,166,1,18,4.54,2,10,18,0,pink
4882,49.2398678,-123.0531378,149,1,25,5.91,2,10,25,0,pink
4883,49.23785841,-123.0473356,49,1,3,0.68,5,9,3,0,pink
4884,49.27714198,-123.1281623,99,30,0,0.0,3,31,0,0,pink
4885,49.23349097,-123.1129679,208,1,6,1.43,1,245,6,2,dark purple
4886,49.25472277,-123.1226851,139,2,23,4.79,2,311,23,2,dark purple
4887,49.26819301,-123.0963229,212,2,32,6.58,1,8,32,0,pink
4888,49.23132384,-123.0372922,98,1,2,0.86,2,178,2,2,dark purple
4889,49.25907962,-123.1131092,47,30,0,0.0,18,236,0,2,dark purple
4890,49.26066154,-123.1124887,50,30,2,0.48,18,236,2,2,dark purple
4891,49.25878153,-123.1607424,599,30,1,0.24,3,204,1,1,purple
4892,49.27767679,-123.1307687,364,2,1,0.71,1,50,1,1,purple
4893,49.27917524,-123.1091667,280,1,32,6.49,4,81,32,0,pink
4894,49.2806215,-123.1229509,242,1,17,3.54,1,90,17,0,pink
4895,49.27883,-123.10938,336,2,26,5.31,1,22,26,0,pink
4896,49.2792813,-123.1065474,303,1,35,8.68,40,81,35,0,pink
4897,49.21962555,-123.0736797,428,2,0,0.0,5,138,0,1,purple
4898,49.23320874,-123.1525642,139,7,0,0.0,1,89,0,0,pink
4899,49.27521898,-123.1287853,430,2,21,4.2,1,38,21,1,purple
4900,49.28196409,-123.1099739,181,1,18,3.78,1,131,18,0,pink
4901,49.24908,-123.09919,125,1,21,5.25,3,290,21,2,dark purple
4902,49.26044,-123.07826,87,1,2,0.63,5,364,2,2,dark purple
4903,49.25142764,-123.055728,88,1,10,4.29,4,52,10,0,pink
4904,49.27591715,-123.1305199,340,30,0,0.0,1,218,0,2,dark purple
4905,49.2783619,-123.1269471,144,30,0,0.0,1,41,0,0,pink
4906,49.2266582,-123.1132679,48,30,0,0.0,1,299,0,2,dark purple
4907,49.27974535,-123.1090408,185,1,4,1.07,3,300,4,2,dark purple
4908,49.25578651,-123.1052641,182,3,11,2.34,112,337,11,2,dark purple
4909,49.20772372,-123.118316,214,2,12,2.75,112,315,12,2,dark purple
4910,49.27861,-123.13073,279,1,7,4.57,1,285,7,2,dark purple
4911,49.2883,-123.04562,644,2,9,2.93,3,260,9,1,purple
4912,49.21239608,-123.0725816,55,7,20,4.58,2,273,20,2,dark purple
4913,49.27883661,-123.1077826,792,2,8,2.67,1,28,8,1,purple
4914,49.27752218,-123.0571521,278,1,19,3.9,1,61,19,0,pink
4915,49.24130585,-123.1875756,386,3,2,1.71,1,305,2,1,purple
4916,49.27754999,-123.1278427,90,30,0,0.0,1,22,0,0,pink
4917,49.29119066,-123.1325268,165,30,2,0.53,37,44,2,0,pink
4918,49.23786766,-123.1483506,769,3,4,1.9,2,155,4,1,purple
4919,49.24870079,-123.1051975,205,1,1,1.0,1,23,1,0,pink
4920,49.2755191,-123.1266932,274,3,21,4.47,3,64,21,0,pink
4921,49.27928613,-123.1293122,250,30,0,0.0,1,344,0,2,dark purple
4922,49.2434622,-123.1700375,161,2,4,2.11,1,153,4,0,pink
4923,49.22706,-123.05328,79,1,13,2.77,4,59,13,0,pink
